y1,x1,wave_ht,tuning_factor
19.9632,-155.943,0.75,0.115614
19.9679,-155.939,0.8,0.214418
19.968,-155.942,0.65,0.777907
19.9654,-155.933,0.6,0.0684937
19.967,-155.933,0.5,0.0913112
19.9605,-155.943,0.6,0.122435
19.9621,-155.933,0.55,1.62424
19.9591,-155.937,0.5,1.00105
19.9589,-155.941,0.6,3.93762
19.9677,-155.933,0.5,0.206559
19.968,-155.935,0.5,0.566922
19.968,-155.943,0.55,0.133513
19.9649,-155.943,0.65,0.067021
19.9627,-155.943,0.75,0.100155
19.968,-155.939,0.8,0.0978821
19.968,-155.935,0.7,0.540319
19.9625,-155.943,0.7,0.109914
19.9681,-155.938,0.65,0.133917
19.9631,-155.933,0.6,0.0776618
19.9657,-155.933,0.55,0.891712
19.9592,-155.934,0.5,0.179899
19.9649,-155.933,0.65,0.0971638
19.9668,-155.943,0.7,0.0879045
19.9643,-155.933,0.55,0.547802
19.9656,-155.933,0.45,0.655836
19.9618,-155.943,0.55,1.55624
19.9638,-155.933,0.55,0.0887215
19.959,-155.938,0.55,0.603182
19.9657,-155.943,0.6,0.0663445
19.9679,-155.936,0.55,0.0702081
19.9606,-155.943,0.75,0.683962
19.9681,-155.941,0.65,0.102516
19.959,-155.937,0.6,0.0675655
19.959,-155.939,0.6,1.72752
19.966,-155.943,0.6,0.0868101
19.968,-155.936,0.65,0.2031
19.968,-155.941,0.65,0.247702
19.9668,-155.933,0.55,0.899147
19.9681,-155.942,0.5,0.148565
19.959,-155.939,0.5,0.502891
19.9656,-155.943,0.5,0.0970366
19.9625,-155.943,0.5,0.0718113
19.968,-155.939,0.6,0.367308
19.9591,-155.935,0.55,0.175911
19.9604,-155.943,0.6,1.94207
19.968,-155.94,0.55,0.0960225
19.9651,-155.933,0.55,0.0649681
19.9591,-155.936,0.6,0.199719
19.9679,-155.936,0.65,1.01594
19.9615,-155.933,0.6,0.135162
19.959,-155.94,0.55,3.2671
19.9668,-155.933,0.55,0.10776
19.9681,-155.939,0.6,0.164619
19.9589,-155.934,0.6,0.265219
19.9591,-155.941,0.6,0.0972883
